14	700	400
15	1100	500
16	1400	500
17	1800	600
18	1800	700
19	1800	700
20	1800	700
21	1800	700
22	1800	700
23	1800	700
24	1800	700
25	1800	700
26	1800	700
27	1800	700
28	1800	700
29	1900	800
30	1900	800
31	2000	900
32	2100	1000
33	2300	1000
34	2400	1100
35	2600	1200
36	2800	1300
37	3100	1400
38	3300	1500
39	3600	1600
40	3800	1700
41	4100	1900
42	4500	2000
43	4800	2200
44	5200	2400
45	5700	2600
46	6100	2800
47	6600	3100
48	7200	3500
49	7800	3800
50	8400	4200
51	9100	4600
52	9900	5000
53	10700	5300
54	11600	5800
55	12700	6200
56	13800	6700
57	15100	7400
58	16400	8200
59	18000	9100
60	19700	10100
61	21500	11300
62	23500	12500
63	25700	13700
64	28100	15100
65	30800	16600
66	33700	18200
67	36800	20100
68	40300	22100
69	44100	24400
70	48200	27000
